STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
34,持続的な,じぞくてきな,"bền vững, lâu dài",特にエデンファームをはじめとする民間企業は、ラムドン省がさらに画期的な政策を打ち出すことを期待しています。これにより、民間経済が持続的に発展し、地域全体の発展にさらに大きく貢献できる環境が整うでしょう。特に、ラムドン省の強みであるハイテク農業分野において、企業は政府と協力して、近代的で環境に優しい農業インフラの構築にさらに深く取り組みたいと考えています。特に、節水型灌漑システム、生物学的ソリューション、気候変動に適応した生産モデルの導入が重要です。,"Eden Farm nói riêng và cộng đồng doanh nghiệp tư nhân kỳ vọng tỉnh sẽ có thêm những chính sách đột phá. Qua đó, tạo điều kiện để kinh tế tư nhân phát triển bền vững và đóng góp mạnh mẽ hơn cho sự phát triển chung của địa phương. Đặc biệt, trong lĩnh vực nông nghiệp công nghệ cao - thế mạnh của Lâm Đồng, các doanh nghiệp mong muốn được đồng hành sâu hơn cùng chính quyền trong việc xây dựng hạ tầng canh tác hiện đại, thân thiện với môi trường. Nhất là ứng dụng hệ thống tưới tiết kiệm nước, giải pháp sinh học và các mô hình sản xuất thích ứng biến đổi khí hậu.",https://www.vietnam.vn/ja/tao-dieu-kien-de-kinh-te-tu-nhan-phat-trien-ben-vung,https://baolamdong.vn/tao-dieu-kien-de-kinh-te-tu-nhan-phat-trien-ben-vung-394649.html,,
35,実際的な,じっさいてきな,thực tế,フォーラムで発言したベトナム駐在スペイン大使カルメン・カノ・デ・ラサラ氏は、ベトナムはASEANにおけるEUの主要パートナーであると断言し、EVFTAのインセンティブによって双方間の貿易と投資の成長を促進する新たな原動力となり、持続可能な開発への共通の野心をエネルギー、循環型経済、農業などの分野での実際的な協力に変えていくことに自信を示した。 ,"Chia sẻ tại diễn đàn, bà Carmen Cano de Lasala - Đại sứ Tây Ban Nha tại Việt Nam khẳng định, Việt Nam là đối tác hàng đầu của EU trong ASEAN và bày tỏ tin tưởng vào các động lực mới thúc đẩy tăng trưởng thương mại và đầu tư giữa hai bên với ưu đãi từ EVFTA, biến tham vọng chung về phát triển bền vững thành hợp tác thực tế trong lĩnh vực năng lượng, kinh tế tuần hoàn, nông nghiệp…",https://www.vietnam.vn/ja/viet-nam-eu-khai-pha-xung-luc-moi-trong-hop-tac-kinh-te-thuong-mai,https://hanoimoi.vn/viet-nam-eu-khai-pha-xung-luc-moi-trong-hop-tac-kinh-te-thuong-mai-720043.html,,
36,実質的な,じっしつてきな,thực chất,2024年、主要な党・国家指導者による約60件の外交活動において、経済分野が重点項目となり、具体的かつ実質的な成果がもたらされました。注目すべきは、首相によるインド、オーストラリア、ニュージーランド、韓国、UAE、カタール、サウジアラビア、ハンガリー、ルーマニア、ドミニカへの訪問、そして中国、ロシアへの実務訪問です。170件を超える協力協定が締結されました。,"Trong gần 60 hoạt động đối ngoại của lãnh đạo chủ chốt Đảng, Nhà nước trong năm 2024, nội dung kinh tế đã trở thành trọng tâm, mang lại các kết quả cụ thể, thực chất. Nổi bật là các chuyến thăm của Thủ tướng Chính phủ tới Ấn Độ, Australia, New Zealand, Hàn Quốc, UAE, Qatar, Saudi Arabia, Hungary, Romania, Dominica; thăm làm việc tại Trung Quốc, Nga... Hơn 170 thỏa thuận hợp tác đã được ký kết.",https://www.vietnam.vn/ja/cong-tac-ngoai-giao-kinh-te-ngay-cang-thuc-chat-va-bai-ban-hon,https://baohaiphong.vn/cong-tac-ngoai-giao-kinh-te-ngay-cang-thuc-chat-va-bai-ban-hon-401034.html,,
37,実用的な,じつようてきな,"thực dụng, thực tiễn",ファン・ドゥック・チュン氏とグエン・フー・ズン氏は、ベトナムがデジタル資産の潜在力を実用的な経済的価値に変換する機会に直面しており、デジタル経済の新たな姿を創造し、ベトナムのデジタル経済の力強い発展の未来を形作ることに貢献すると信じています。,"Ông Phan Đức Trung và ông Nguyễn Phú Dũng chung niềm tin Việt Nam đang đứng trước cơ hội để chuyển hóa tiềm năng tài sản số thành giá trị kinh tế thực tiễn, góp phần tạo nên diện mạo mới cho nền kinh tế số và định hình tương lai kinh tế số Việt Nam phát triển vững mạnh./.",https://www.vietnam.vn/ja/chuyen-hoa-tiem-nang-tai-san-so-thanh-gia-tri-kinh-te-thuc-tien,https://www.vietnamplus.vn/chuyen-hoa-tiem-nang-tai-san-so-thanh-gia-tri-kinh-te-thuc-tien-post1056553.vnp,,
38,重大な,じゅうだいな," lớn, quan trọng, nghiêm trọng",米国債と米ドル（USD）の異常なボラティリティと同時下落は、米国の金融力に対する世界的な再評価を示唆しており、米ドルの長年にわたる覇権に重大な疑問を投げかけている。中国現代国際関係研究院の研究員である韓立群氏は最近、ウェブサイトChinausfocus.comにコメントし、米ドルの覇権はまもなく重大な転換点を迎える可能性があると述べた。,"Biến động bất thường và sự suy yếu đồng thời của trái phiếu kho bạc Mỹ và đồng đô la (USD) đang báo hiệu một sự đánh giá lại toàn cầu về sức mạnh tài chính của Mỹ, đặt ra nghi vấn lớn về vị thế bá chủ lâu đời của đồng tiền này. Bình luận trên trang web Chinausfocus.com mới đây, Han Liqun, nhà nghiên cứu, Viện Quan hệ Quốc tế Đương đại Trung Quốc, nhận định quyền bá chủ của đồng đô la Mỹ có thể sớm phải đối mặt với một bước ngoặt quan trọng.",https://www.vietnam.vn/ja/suc-manh-dong-do-la-my-dang-lung-lay,https://baotintuc.vn/phan-tichnhan-dinh/suc-manh-dong-do-la-my-dang-lung-lay-20251014085626907.htm,,
39,自由な,じゆうな,tự do,個人投資家が陥りがちな間違いの一つは、経験豊富な専門家に相談することなく、自分一人で運用できると考えてしまうことです。そこから、個人の希望に沿った自由な投資が「サーフィン」に陥り、不安定でリスクの高い投資プラットフォームを生み出してしまうことがよくあります,"Một trong những sai lầm phổ biến của các nhà đầu tư cá nhân là cho rằng mình có thể tự xoay sở mà không cần đến ý kiến tham vấn từ người có kinh nghiệm. Từ đó, việc tự do đầu tư theo ý muốn cá nhân thường dẫn đến xu hướng ""lướt sóng"", tạo ra một nền tảng đầu tư không ổn đinh và đầy rủi ro.",https://www.vietnam.vn/ja/lam-sao-de-hien-thuc-hoa-uoc-mo-tu-do-tai-chinh,https://tuoitre.vn/lam-sao-de-hien-thuc-hoa-uoc-mo-tu-do-tai-chinh-20241108091753942.htm,,
40,柔軟な,じゅうなんな,"Linh hoạt, mềm dẻo",統計総局の報告書によると、各省庁、部局、地方自治体は世界経済と国内経済の複雑な変動を綿密に監視し、設定された目標を達成するために柔軟な課題と解決策を迅速に提案している。この取り組みは、マクロ経済の安定維持と持続的な成長の促進に大きく貢献している。 ,"Báo cáo từ Cục thống kê ghi nhận các bộ, ngành, địa phương đã theo dõi sát sao những biến động phức tạp của tình hình kinh tế thế giới và trong nước, từ đó kịp thời đưa ra các nhiệm vụ, giải pháp linh hoạt nhằm đạt được mục tiêu đề ra. Sự chủ động này đã góp phần quan trọng vào việc duy trì ổn định vĩ mô và thúc đẩy tăng trưởng liên tục.",https://www.vietnam.vn/ja/gdp-chin-thang-tang-7-85-ket-qua-cua-hang-loat-chinh-sach-vi-mo-linh-hoat,https://baolangson.vn/gdp-chin-thang-tang-7-85-ket-qua-cua-hang-loat-chinh-sach-vi-mo-linh-hoat-5060953.html,,
41,十分な,じゅうぶんな,đầy đủ,ハイズオン省国会代表団副代表のグエン・ティ・ヴィエット・ガー氏は、今こそ開発促進のための解決策を実施し、民間経済を国の重要な成長エンジンにすべき時だと述べた。我々は十分な立場、十分な力、十分な優位性を有しており、好機、好立地、そして好人材を備えていると言える。事務総長が述べたように、「今こそ行動を起こし、繁栄と活力に満ちたベトナムを築く時だ」。,"Phó trưởng Đoàn ĐBQH tỉnh Hải Dương Nguyễn Thị Việt Nga cho rằng, hiện nay là thời điểm chín muồi để thực hiện các giải pháp thúc đẩy phát triển, đưa kinh tế tư nhân trở thành động lực tăng trưởng quan trọng hàng đầu của đất nước. Chúng ta có đủ thế, đủ lực, đủ thuận lợi, có thể nói là thiên thời, địa lợi, nhân hòa, như Tổng Bí thư đã nói “đây chính là thời điểm để hành động, để kiến tạo một Việt Nam thịnh vượng, năng động”.",https://www.vietnam.vn/ja/du-the-du-luc-du-thuan-loi-de-phat-trien-kinh-te-tu-nhan,https://www.vietnam.vn/du-the-du-luc-du-thuan-loi-de-phat-trien-kinh-te-tu-nhan,,
42,重要な,じゅうような,quan trọng,競争の激しい市場においては、信頼の構築とブランドの差別化が成功につながる重要な要素となります。,"Trong bối cảnh thị trường cạnh tranh khốc liệt, việc xây dựng niềm tin và sự khác biệt cho thương hiệu là yếu tố quan trọng dẫn đến thành công. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
43,主観的な,しゅかんてきな,Chủ quan,主観的な理由としては、2020年と2021年のベトナムの経済成長率は低調で、倒産、解散、あるいは操業停止に陥った企業の台頭に追いつけない年もありました。加えて、マクロ経済改革政策や事業環境・投資環境は改善しているものの、法規制や事業条件、そして新規企業の出現に関する手続きやメカニズムの面で、必ずしもオープンとは言えません。,"Về nguyên nhân chủ quan, tăng trưởng kinh tế của Việt Nam trong năm 2020 và 2021 xuống thấp, việc thành lập mới các doanh nghiệp thậm chí có năm không theo kịp so với tốc độ doanh nghiệp đang trong tình trạng phá sản, giải thể hoặc tạm dừng hoạt động. Cùng với đó, các chính sách về cải cách kinh tế vĩ mô cũng như môi trường kinh doanh, môi trường đầu tư mặc dù có cải thiện nhưng chưa thực sự thông thoáng về mặt pháp lý và điều kiện kinh doanh cũng như các thủ tục, cơ chế để xuất hiện những doanh nghiệp mới.",https://www.vietnam.vn/ja/lam-gi-de-dat-muc-tieu-co-it-nhat-2-trieu-doanh-nghiep,https://www.qdnd.vn/kinh-te/tin-tuc/lam-gi-de-dat-muc-tieu-co-it-nhat-2-trieu-doanh-nghiep-724424,,
44,主要な,しゅような,"trọng điểm, then chốt",ソン・キム・ランド社はまた、スオイティエン・バスターミナル地下鉄駅とトゥーティエム鉄道駅という2つの主要エリアで公共交通機関を重視した都市開発区域の調査と計画の許可を求めた。,"Sơn Kim Land cũng xin chủ trương cho phép nghiên cứu, lập quy hoạch khu vực phát triển đô thị theo định hướng giao thông công cộng tại hai khu vực trọng điểm: nhà ga metro Bến xe Suối Tiên và ga đường sắt Thủ Thiêm.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
45,順調な,じゅんちょうな,Thuận lợi,MBSは2025年第3四半期のGDP成長率が8.6～8.9%に達すると予測している。「これは、同国が依然として野心的な目標達成に向けて順調に進んでいることを示している」とMBSの専門家は述べている。,"MBS dự báo, tăng trưởng GDP quý III/2025 sẽ đạt mức 8,6-8,9%. “Điều này cho thấy, đất nước vẫn đang trên đà đạt được mục tiêu đầy tham vọng của mình”, các chuyên gia của MBS nhận định.",https://www.vietnam.vn/ja/nen-kinh-te-viet-nam-dang-di-dung-kich-ban,https://baodautu.vn/nen-kinh-te-viet-nam-dang-di-dung-kich-ban-d398462.html,,
46,丈夫な,じょうぶな,"bền, vững chắc",古代の製糸技術のおかげで、現代のコチャットシルク製品は、手作業であれ最新設備であれ、細くて丈夫な絹糸を使用し、滑らかで光沢のある美しい仕上がりで、高い品質を保っています。現在、村には30世帯以上が製糸業を営んでおり、人々の生活を豊かにするだけでなく、製糸業は地域の伝統工芸の保存にも貢献しています。,"Nhờ kỹ thuật ươm tơ của người xưa, sản phẩm tơ lụa Cổ Chất hiện đại dù sản xuất thủ công hay trang thiết bị hiện đại vẫn giữ được chất lượng cao, sợi tơ mảnh mà bền, mượt mà, óng ả bắt mắt. Hiện tại, làng còn duy trì hơn 30 hộ làm nghề, không chỉ đem lại cuộc sống ấm no cho người dân, nghề ươm tơ còn góp phần lưu giữ nghề truyền thống của địa phương. ",https://www.vietnam.vn/ja/phat-trien-kinh-tetu-cac-lang-nghe-truyen-thong,https://baonamdinh.vn/kinh-te/202504/phat-trien-kinh-tetu-cac-lang-nghe-truyen-thong-5c41266/,,
47,深刻な,しんこくな,nghiêm trọng,グエン・ティ・フォン・タオ氏は、システムが深刻な混雑に陥っていた2020年にFPTと共にHOSEを「救出」した道のりを振り返り、民間部門の先駆的な役割を強調した。,"Bà Nguyễn Thị Phương Thảo kể lại hành trình cùng FPT “giải cứu” HOSE năm 2020, khi hệ thống nghẽn lệnh nghiêm trọng, khẳng định vai trò tiên phong của khối tư nhân.",https://www.vietnam.vn/ja/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose,https://dantri.com.vn/kinh-doanh/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose-20250930152034691.htm,,
